id,sender_id,receiver_id,amount,start_time,max_fee_limit,end_time,mpp,is_shard,parent_payment_id,shard1_id,shard2_id,is_success,is_rolledback,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee,attempts_history
947,1005,4535,1310206,279822,2305843009213693951,282232,0,1,940,-1,-1,0,1,0,0,0,1,5934-5231-588-44367,2015,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282232,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":1312221,""edge_cap"":431754,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":1311220,""edge_cap"":276341611,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":1311219,""edge_cap"":235963792,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":1310206,""edge_cap"":5916002588,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
948,1005,4535,1310206,279822,2305843009213693951,282237,0,1,941,-1,-1,0,1,0,0,0,1,5934-5231-588-44367,2015,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282237,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":1312221,""edge_cap"":431754,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":1311220,""edge_cap"":276341611,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":1311219,""edge_cap"":235963792,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":1310206,""edge_cap"":5916002588,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
949,1005,4535,1310206,279822,2305843009213693951,282233,0,1,941,-1,-1,0,1,0,0,0,1,5934-5231-588-44367,2015,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282233,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":5934,""from_node_id"":1005,""to_node_id"":925,""sent_amt"":1312221,""edge_cap"":431754,""channel_cap"":200000000,""group_cap"":null,""channel_update"":200000000},{""edge_id"":5231,""from_node_id"":925,""to_node_id"":63,""sent_amt"":1311220,""edge_cap"":276341611,""channel_cap"":300000000,""group_cap"":null,""channel_update"":300000000},{""edge_id"":588,""from_node_id"":63,""to_node_id"":194,""sent_amt"":1311219,""edge_cap"":235963792,""channel_cap"":5000000000,""group_cap"":null,""channel_update"":5000000000},{""edge_id"":44367,""from_node_id"":194,""to_node_id"":4535,""sent_amt"":1310206,""edge_cap"":5916002588,""channel_cap"":5999040000,""group_cap"":null,""channel_update"":5999040000}]}]"
950,3731,107,4367430,282220,9223372036854775807,282220,1,1,283,952,953,0,0,0,0,0,1,"",0,
951,3731,107,4367430,282220,9223372036854775807,282621,1,1,283,954,955,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":282621,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":4367435,""edge_cap"":2115973,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":4367430,""edge_cap"":129960552,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
952,3731,107,2183715,282220,4611686018427387903,282621,1,1,950,956,957,0,0,0,0,0,1,"",0,
953,3731,107,2183715,282220,4611686018427387903,282621,1,1,950,958,959,0,0,0,0,0,1,"",0,
954,3731,107,2183715,282220,4611686018427387903,283022,1,1,951,960,961,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283022,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":2183718,""edge_cap"":2115972,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":2183715,""edge_cap"":129960552,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
955,3731,107,2183715,282220,4611686018427387903,283022,1,1,951,962,963,0,1,0,0,0,1,"",0,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283022,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":2183718,""edge_cap"":2115972,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":2183715,""edge_cap"":129960552,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
956,3731,107,1091857,282220,2305843009213693951,283022,0,1,952,-1,-1,0,0,0,0,0,1,,,
957,3731,107,1091858,282220,2305843009213693951,283022,0,1,952,-1,-1,0,0,0,0,0,1,,,
958,3731,107,1091857,282220,2305843009213693951,283022,0,1,953,-1,-1,0,0,0,0,0,1,,,
959,3731,107,1091858,282220,2305843009213693951,283423,0,1,953,-1,-1,0,1,0,0,0,1,33108-12553,2,"[{""attempts"":1,""is_succeeded"":1,""end_time"":283423,""error_edge"":0,""error_type"":0,""route"":[{""edge_id"":33108,""from_node_id"":3731,""to_node_id"":130,""sent_amt"":1091860,""edge_cap"":1024110,""channel_cap"":100000000,""group_cap"":null,""channel_update"":100000000},{""edge_id"":12553,""from_node_id"":130,""to_node_id"":107,""sent_amt"":1091858,""edge_cap"":128868694,""channel_cap"":137557000,""group_cap"":null,""channel_update"":137557000}]}]"
